box;Site;Area;Section
12821;W-A-1-2-3;WA01;19187
12826;W-A-1-2-3;WA01;19166
12837;W-A-1-2-3;WA01;19730
13096;W-A-1-2-3;WA01;19605
13130;W-A-1-2-3;WA01;19456
13139;W-A-1-2-3;WA01;19627
13193;W-A-1-2-3;WA01;19458
13244;W-A-1-2-3;WA01;19604
13248;W-A-1-2-3;WA01;19605
13325;W-A-1-2-3;WA01;19667
13364;W-A-1-2-3;WA01;19674
13389;W-A-1-2-3;WA01;19601
13404;W-A-1-2-3;WA01;19606
13409;W-A-1-2-3;WA01;19823
13412;W-A-1-2-3;WA01;19667
13485;W-A-1-2-3;WA01;19320
13487;W-A-1-2-3;WA01;19824
13506;W-A-1-2-3;WA01;19612
13507;W-A-1-2-3;WA01;19614
13522;W-A-1-2-3;WA01;19825
13523;W-A-1-2-3;WA01;19692
13525;W-A-1-2-3;WA01;19826
13532;W-A-1-2-3;WA01;19320
13533;W-A-1-2-3;WA01;19825
13556;W-A-1-2-3;WA01;19613
13557;W-A-1-2-3;WA01;19600
13563;W-A-1-2-3;WA01;19635
13618;W-A-1-2-3;WA01;19608
13620;W-A-1-2-3;WA01;19603
13654;W-A-1-2-3;WA01;19606
13658;W-A-1-2-3;WA01;19440
13981;W-A-1-2-3;WA01;19629
13982;W-A-1-2-3;WA01;19668
13983;W-A-1-2-3;WA01;19618
13985;W-A-1-2-3;WA01;19613
13986;W-A-1-2-3;WA01;19498
14029;W-A-1-2-3;WA01;19498
14037;W-A-1-2-3;WA01;19497
14183;W-A-1-2-3;WA01;19195
14397;W-A-1-2-3;WA01;19457
14447;W-A-1-2-3;WA01;19609
14500;W-A-1-2-3;WA01;19462
14502;W-A-1-2-3;WA01;19611
14596;W-A-1-2-3;WA01;19250
14600;W-A-1-2-3;WA01;19147
14604;W-A-1-2-3;WA01;19241
14607;W-A-1-2-3;WA01;19798
14611;W-A-1-2-3;WA01;19197
14612;W-A-1-2-3;WA01;19731
14615;W-A-1-2-3;WA01;19152
14618;W-A-1-2-3;WA01;19182
14628;W-A-1-2-3;WA01;19212
14629;W-A-1-2-3;WA01;19217
14632;W-A-1-2-3;WA01;19684
14639;W-A-1-2-3;WA01;19775
14640;W-A-1-2-3;WA01;19195
14642;W-A-1-2-3;WA01;19234
14643;W-A-1-2-3;WA01;19685
14644;W-A-1-2-3;WA01;19690
14651;W-A-1-2-3;WA01;19196
14654;W-A-1-2-3;WA01;19804
14656;W-A-1-2-3;WA01;19163
14664;W-A-1-2-3;WA01;19690
14666;W-A-1-2-3;WA01;19797
14672;W-A-1-2-3;WA01;19761
14674;W-A-1-2-3;WA01;19758
14680;W-A-1-2-3;WA01;19296
14682;W-A-1-2-3;WA01;19756
14687;W-A-1-2-3;WA01;19805
14689;W-A-1-2-3;WA01;19149
14692;W-A-1-2-3;WA01;19208
14693;W-A-1-2-3;WA01;19197
14698;W-A-1-2-3;WA01;19805
14699;W-A-1-2-3;WA01;19759
14701;W-A-1-2-3;WA01;19806
14705;W-A-1-2-3;WA01;19199
14709;W-A-1-2-3;WA01;19696
14710;W-A-1-2-3;WA01;19212
14714;W-A-1-2-3;WA01;19758
14715;W-A-1-2-3;WA01;19774
14723;W-A-1-2-3;WA01;19804
14733;W-A-1-2-3;WA01;19772
14734;W-A-1-2-3;WA01;19199
14739;W-A-1-2-3;WA01;19742
14740;W-A-1-2-3;WA01;19763
14759;W-A-1-2-3;WA01;19754
14760;W-A-1-2-3;WA01;19723
14761;W-A-1-2-3;WA01;19727
14762;W-A-1-2-3;WA01;19193
14763;W-A-1-2-3;WA01;19745
14764;W-A-1-2-3;WA01;19727
14765;W-A-1-2-3;WA01;19213
14766;W-A-1-2-3;WA01;19232
14767;W-A-1-2-3;WA01;19711
14768;W-A-1-2-3;WA01;19762
14775;W-A-1-2-3;WA01;19725
14776;W-A-1-2-3;WA01;19298
14777;W-A-1-2-3;WA01;19188
14778;W-A-1-2-3;WA01;19776
14779;W-A-1-2-3;WA01;19169
14780;W-A-1-2-3;WA01;19755
14787;W-A-1-2-3;WA01;19291
14788;W-A-1-2-3;WA01;19287
14793;W-A-1-2-3;WA01;19174
14794;W-A-1-2-3;WA01;19198
14795;W-A-1-2-3;WA01;19821
14796;W-A-1-2-3;WA01;19819
14799;W-A-1-2-3;WA01;19685
14801;W-A-1-2-3;WA01;19683
14802;W-A-1-2-3;WA01;19686
14807;W-A-1-2-3;WA01;19231
14808;W-A-1-2-3;WA01;19822
14809;W-A-1-2-3;WA01;19254
14810;W-A-1-2-3;WA01;19215
14819;W-A-1-2-3;WA01;19684
14820;W-A-1-2-3;WA01;19687
14821;W-A-1-2-3;WA01;19688
14823;W-A-1-2-3;WA01;19756
