Barcode Label No.;ARCHIVIO;SCAFFALE;Project No;Group/ Department;CODICE;DA VOLUME;A VOLUME
11276;PLANET;0;2177;INGEGNERIA;ML;1;6
11277;WC06;21237;2177;INGEGNERIA;ML;7;12
11278;PLANET;0;2177;INGEGNERIA;ML;13;18
11279;PLANET;0;2177;INGEGNERIA;ML;19;24
11281;PLANET;0;2177;INGEGNERIA;ML;31;36
11282;PLANET;0;2177;INGEGNERIA;ML;37;42
11283;PLANET;0;2177;INGEGNERIA;ML;43;48
11284;PLANET;0;2177;INGEGNERIA;ML;49;54
11285;PLANET;0;2177;INGEGNERIA;ML;55;60
11286;WC06;21270;2177;INGEGNERIA;ML;61;66
11288;PLANET;0;2177;INGEGNERIA;ML;73;78
11289;PLANET;0;2177;INGEGNERIA;ML;79;84
11290;PLANET;0;2177;INGEGNERIA;ML;85;90
11291;PLANET;0;2177;INGEGNERIA;ML;91;96
11292;PLANET;0;2177;INGEGNERIA;ML;97;102
11293;PLANET;0;2177;INGEGNERIA;ML;103;108
11294;PLANET;0;2177;INGEGNERIA;ML;109;113
11295;PLANET;0;2177;INGEGNERIA;ML;114;117
11324;WC06;20977;2141;INGEGNERIA;AG;218.01 GEN. INDEX;218.03 VOL.2
11581;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.1;
11582;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.1;
11583;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.2;
11584;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.2;
11585;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.3;
11586;PLANET;0;2137;INGEGNERIA;IB;0150.01 VOL.3;
11587;PLANET;0;2137;INGEGNERIA;IB;0710.01 VOL.3;1572.01 VOL.4
11588;PLANET;0;2137;INGEGNERIA;IB;1652.01 VOL.1;
11617;PLANET;0;2224;INGEGNERIA;VD;1611.01 VOL.1;4025.01 VOL.1
11809;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.INDEX;010-101 VOL.4
11810;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.5;010-101 VOL.10
11811;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.11;010-101 VOL.16
11812;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.17;010-101 VOL.21
11813;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.22;010-101 VOL.26
11814;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.27;010-101 VOL.31
11815;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.32;010-101 VOL.36
11816;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.37;010-101 VOL.41
11817;WC06;21953;2177;INGEGNERIA;ML;010-101 VOL.42;010-101 VOL.47
11818;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.48;010-101 VOL.52
11819;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.53;010-101 VOL.57
11820;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.58;010-101 VOL.63
11821;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.64;010-101 VOL.68
11822;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.69;010-101 VOL.73
11823;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.74;010-101 VOL.78
11824;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.79;010-101 VOL.83
11825;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.84;010-101 VOL.88
11826;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.89;010-101 VOL.93
11827;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.94;010-101 VOL.98
11828;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.99;010-101 VOL.103
11829;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.104;010-101 VOL.108
11830;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.109;010-101 VOL.113
11831;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.114;010-101 VOL.118
11832;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.119;010-101 VOL.123
11833;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.124;010-101 VOL.128
11834;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.129;010-101 VOL.133
11835;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.134;010-101 VOL.138
11836;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.139;010-101 VOL.143
11837;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.144;010-101 VOL.149
11838;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.150;010-101 VOL.154
11839;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.155;010-101 VOL.159
11840;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.160;010-101 VOL.166
11841;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.167;010-101 VOL.171
11842;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.172;010-101 VOL.176
11843;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.177;010-101 VOL.181
11844;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.182;010-101 VOL.187
11845;PLANET;0;2177;INGEGNERIA;ML;010-101 VOL.188;010-101 VOL.193
11875;PLANET;0;2213;INGEGNERIA;VD;1800.03 VOL.18;1800.03 VOL.23
11876;PLANET;0;2213;INGEGNERIA;VD;1800.03 VOL.24;1800.03 VOL.27
11938;WC06;21402;2137;INGEGNERIA;ML;000-103 VOL.296;000-103 VOL.300
12130;WC06;21317;2214;INGEGNERIA;ML;000-101 VOL.INDEX;000-101 VOL.4
12131;WC06;21889;2214;INGEGNERIA;ML;000-101 VOL.5;000-101 VOL.9
12132;PLANET;0;2214;INGEGNERIA;ML;000-101 VOL.10;000-101 VOL.14
12134;WC06;22076;2224;INGEGNERIA;ML;00-101 VOL.INDEX;00-101 VOL.4
12136;WC06;20901;2224;INGEGNERIA;ML;00-101 VOL.10;00-101 VOL.14
12137;WC06;21311;2224;INGEGNERIA;ML;00-101 VOL.15;00-101 VOL.19
12141;PLANET;0;2224;INGEGNERIA;ML;00-102 VOL.5;00-102 VOL.9
12143;PLANET;0;2224;INGEGNERIA;ML;00-102 VOL.15;00-102 VOL.19
12146;PLANET;0;2214;INGEGNERIA;ML;000-103 VOL.1;000-103 VOL.5
12147;PLANET;0;2214;INGEGNERIA;ML;000-103 VOL.6;000-103 VOL.10
12148;PLANET;0;2214;INGEGNERIA;ML;000-103 VOL.11;000-103 VOL.15
12149;PLANET;0;2214;INGEGNERIA;ML;000 ML 102 VOL 1;000 ML 102 VOL 5
12150;PLANET;0;2214;INGEGNERIA;ML;000 ML 102 VOL 6;000 ML 102 VOL 10
