id;Box_ID;Descrizione
23030;37480;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: GENERALI DA:  A: 
23356;37868;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: GENERALI DA:  A: 
19510;33629;SERVIZIO: INGEGNERIA | RESPONSABILE: MONTIS | DOCUMENTO: AG DA: 411.02 V 1 A: 411.02 V 7
22694;37129;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: ML DA: 60 A: 
22515;36904;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 01 SEC 3 VOL 6 A: UNITA 01 SEC 3 VOL 11
23220;37723;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: GENERALI DA:  A: 
22519;36908;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 01 SEC 4 VOL 17 A: UNITA 01 SEC 4 VOL 22
28913;44565;#N/D
21652;35902;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
20041;34251;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNIT 00 SECT 7 VOL 3 A: UNIT 00 SECT 7 VOL 8
23274;37783;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: VARI A: 
22470;36790;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 6 VOL 8 A: UNITA 00 SEC 6 VOL 14
22528;36919;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 6 VOL 14 A: UNITA 00 SEC 7 VOL 1
21223;35472;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21616;35866;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21600;35850;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
22446;36750;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 07 SEC 17 VOL 2 A: UNITA 07 SEC 17 VOL 6
21734;35984;SERVIZIO: LEGALE | RESPONSABILE: DI BIAGIO | DOCUMENTO: LEX DA: 214 A: 218
22472;36806;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 48 SEC 18 VOL 7 A: UNITA 48 SEC 18 VOL 9
20330;34568;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
22494;36862;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 07 SEC 3 VOL 1 A: UNITA 07 SEC 3 VOL 5
23157;37624;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 37 SEC 6 VOL 1 A: UNITA 37 SEC 6 VOL 4
28879;44531;#N/D
21739;35989;SERVIZIO: LEGALE | RESPONSABILE: DI BIAGIO | DOCUMENTO: LEX DA: 253 A: 256
23481;37994;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: 3046 A: 3056
23494;38007;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: 3046 A: 3056
22547;36964;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: DRAWING RECORD BOOK PLANT 02 VOL 12 A: DRAWING RECORD BOOK PLANT 02 VOL 14
22521;36911;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 01 SEC 6 VOL 2 A: UNITA 01 SEC 6 VOL 7
22495;36863;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 07 SEC 3 VOL 6 A: UNITA 07 SEC 3 VOL 10
23155;37614;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 7 VOL 6 A: UNITA 00 SEC 7 VOL 11
21572;35822;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21095;35344;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
23251;37759;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: LS DA:  A: 
21628;35878;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
22910;37360;SERVIZIO: LEGALE | RESPONSABILE: DI BIAGIO | DOCUMENTO: LEX TPL DA: 349 A: 642
22539;36945;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 51 SEC 10 VOL 6 A: UNITA 51 SEC 10 VOL 11
22452;36761;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 7 VOL 9 A: UNITA 00 SEC 7 VOL 13
23235;37740;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 31 A: 
22505;36882;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 04 SEC 8 VOL 15 A: UNITA 04 SEC 8 VOL 20
22469;36789;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 6 VOL 15 A: UNITA 00 SEC 6 VOL 20
20687;34934;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
20685;34932;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
23152;37609;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 00 SEC 3 VOL 1 A: UNITA 00 SEC 3 VOL 6
22537;36941;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 51 SEC 15 VOL 1 A: UNITA 51 SEC 15 VOL 4
23188;37684;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 57 SEC 11 VOL 9 A: UNITA 57 SEC 11 VOL 12
21625;35875;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21029;35278;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21663;35913;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
23205;37703;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: RR DA: 60 A: 
23187;37682;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 57 SEC 18 VOL 3 A: UNITA 57 SEC 18 VOL 7
23279;37790;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 71 A: 
23225;37729;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: RR DA: 65 A: 
23184;37672;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 40/51/57/58/59/53/55/54 gen ind A: 
21602;35852;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
23269;37778;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 36 A: 
23248;37756;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 31 A: 
22443;36746;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: CATALOGO MECCANICO DA: UNITA 05 SEC 6 VOL 1 A: UNITA 05 SEC 6 VOL 3
23215;37716;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 70 A: 
23219;37720;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: PG DA: 26 A: 
20839;35086;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
22039;36289;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
23236;37742;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: AG DA: 16 A: 
21076;35325;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21253;35502;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
21593;35843;SERVIZIO: INGEGNERIA | RESPONSABILE:  | DOCUMENTO: CATALOGO MECCANICO DA:  A: 
22841;37290;SERVIZIO: INGEGNERIA | RESPONSABILE: KLOETD | DOCUMENTO: CANTIERE DA: BOX 26 A: BOX 26
22848;37297;SERVIZIO: INGEGNERIA | RESPONSABILE: KLOETD | DOCUMENTO: CANTIERE DA: BOX 33 A: BOX 33
22849;37298;SERVIZIO: INGEGNERIA | RESPONSABILE: KLOETD | DOCUMENTO: CANTIERE DA: BOX 34 A: BOX 34
23910;38427;SERVIZIO: INGEGNERIA | RESPONSABILE: MONTIS | DOCUMENTO: NM DA: 020-155101 V 2 A: 020-155101 V 5
23996;38517;SERVIZIO: INGEGNERIA | RESPONSABILE: MONTIS | DOCUMENTO: MR DA: 25136-MR PX007 A: 25136 MRA-5500
24001;38527;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO: PG DA: 0077/F A: 0077/F
24661;39299;SERVIZIO: INGEGNERIA | RESPONSABILE: PETRANGELI | DOCUMENTO:  DA:  A: 
24785;39444;SERVIZIO: INGEGNERIA | RESPONSABILE: MONTIS | DOCUMENTO: MR DA: 0110.01 VOL 1 A: 0213.01 VOL G 1
